"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","ComponentKind","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Variation"
"U4","TL431IDBZT","TopLayer","SOT23-3","SOT23, 3-Leads, Body 3.1x3.0mm (max), Pitch 0.95mm, IPC Medium Density","-11.2522","5.3848","90","Adjustable precision shunt regulator 3-SOT-23 -40 to 85","Standard","1.2000","-11.2522","5.3848","-12.2022","4.1388","Fitted"
"R11","120R","TopLayer","RES_0402","","-13.7160","4.4958","270","Resistor","Standard","0.3500","-13.7160","4.4958","-13.7160","5.0038","Fitted"
"P4","SH1.0-6P","TopLayer","SH1.0-6P","","-17.7165","7.7550","270","","Standard","4.3000","-15.8750","7.7550","-15.8750","10.2550","Fitted"
"T2","测试点","TopLayer","TEST_PT","","4.3180","-14.0970","180","","Standard","4.3000","4.3180","-14.0968","4.3180","-14.0970","Fitted"
"T1","测试点","TopLayer","TEST_PT","","7.2390","-3.6832","180","","Standard","4.3000","7.2390","-3.6830","7.2390","-3.6832","Fitted"
"R5","3.3K","BottomLayer","RES_0402","","0.0000","11.9380","270","Resistor","Standard","0.3500","0.0000","11.9380","0.0000","12.4460","Fitted"
"R4","NCP15XH103F03RC","BottomLayer","RES_0402","","0.0000","10.1600","270","THERMISTOR 10K OHM NTC 0402 SMD","Standard","0.3500","0.0000","10.1600","0.0000","10.6680","Fitted"
"C3","10uF","BottomLayer","CAP_0402","","-17.1450","-0.6350","0","Capacitor","Standard","0.5500","-17.1450","-0.6350","-17.6530","-0.6350","Fitted"
"R16","10K","BottomLayer","RES_0402","","-3.8100","-7.1120","180","Resistor","Standard","0.3500","-3.8100","-7.1120","-3.3020","-7.1120","Fitted"
"P1","SH1.0-5P","TopLayer","SH1.0-5P","","-17.7165","-1.0160","270","","Standard","4.3000","-15.8750","-1.0160","-15.8750","0.9840","Fitted"
"P5","SH1.0-3P","TopLayer","SH1.0-3P","","-17.7165","-8.6360","270","Header","Standard","4.3000","-15.8750","-8.6360","-15.8750","-7.6360","Fitted"
"P3","SH1.0-6P","TopLayer","SH1.0-6P","","0.0000","-17.7165","0","","Standard","0.0000","0.0000","-15.8750","-2.5000","-15.8750","Fitted"
